"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"MT-ATP6","OK","negbinomial.size",2.18026292020399e-35,2.69449069723949e-33,"MT-ATP6",1186
"DNAJA1","OK","negbinomial.size",3.74540660284655e-35,4.58745426587938e-33,"DNAJA1",1024
"CYP1B1","OK","negbinomial.size",4.70221295164043e-35,5.70840329828349e-33,"CYP1B1",284
"RPLP0","OK","negbinomial.size",4.92705919410856e-35,5.9288945635773e-33,"RPLP0",1148
"MMP11","OK","negbinomial.size",2.00398764015741e-34,2.3904958650156e-32,"MMP11",747
"PRSS23","OK","negbinomial.size",2.26745663117142e-34,2.68146293675944e-32,"PRSS23",876
"SCGB1D2","OK","negbinomial.size",2.32906416681021e-34,2.73077796925662e-32,"SCGB1D2",56
"TGM2","OK","negbinomial.size",3.12423518532351e-34,3.63205578578542e-32,"TGM2",742
"COL6A6","OK","negbinomial.size",4.99475613087861e-34,5.75782055490696e-32,"COL6A6",45
"HSPH1","OK","negbinomial.size",5.03992203924708e-34,5.76147087786595e-32,"HSPH1",679
"JUN","OK","negbinomial.size",6.65517401926428e-34,7.54509728894772e-32,"JUN",1073
"COL1A2","OK","negbinomial.size",3.30297834202411e-33,3.71395548326941e-31,"COL1A2",1174
"PSME2","OK","negbinomial.size",5.8470405652545e-33,6.52111402228953e-31,"PSME2",793
"PDLIM1","OK","negbinomial.size",7.4077687464334e-33,8.19514287609462e-31,"PDLIM1",808
"CFD","OK","negbinomial.size",1.13910249780512e-32,1.25009664519125e-30,"CFD",747
"MT-ND5","OK","negbinomial.size",2.14291380392097e-32,2.33305488588793e-30,"MT-ND5",1158
"IFITM2","OK","negbinomial.size",5.29457349162042e-32,5.7189731620511e-30,"IFITM2",1107
"IER2","OK","negbinomial.size",6.21227092047788e-32,6.6578072255559e-30,"IER2",991
"MMP2","OK","negbinomial.size",1.13578473939244e-31,1.20780581821593e-29,"MMP2",937
"NDUFA4L2","OK","negbinomial.size",1.16350719524473e-31,1.21839631331047e-29,"NDUFA4L2",230
"EPSTI1","OK","negbinomial.size",1.15572139872505e-31,1.21839631331047e-29,"EPSTI1",448
"RPL29","OK","negbinomial.size",1.62061288631445e-31,1.68420966473194e-29,"RPL29",1181
"PGRMC1","OK","negbinomial.size",1.70428926678448e-31,1.75785264374056e-29,"PGRMC1",840
"BTG2","OK","negbinomial.size",1.74352997494624e-31,1.78490628330691e-29,"BTG2",679
"IGFBP5","OK","negbinomial.size",5.60821378483733e-31,5.69877605188137e-29,"IGFBP5",882
