,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RAB3C,0.402125399809082,0.00656297997648396,0.013,0.008,1
UNC93B1,0.402130198080937,0.00820581308653501,0.231,0.209,1
FLT1,0.40230403378689,-0.0703479207493137,0.211,0.228,1
COL9A2,0.402384860994924,0.00493032655259876,0.013,0.008,1
TM6SF2,0.402384860994924,0.00493032655259876,0.013,0.008,1
RASSF6,0.402384860994924,0.00492497797224561,0.013,0.008,1
TRPM4,0.402433199377752,0.00787786108273183,0.065,0.053,1
ZNF79,0.402644472788098,0.00329232454836041,0.013,0.008,1
FCHO1,0.402644472788098,0.00165700120762948,0.013,0.008,1
GRIP1,0.402646883423846,0.00655497018317678,0.013,0.008,1
KRT6A,0.402878768180172,0.5860932284661,0.4,0.421,1
TRIM45,0.402906570063374,-0.0113937549878614,0.008,0.013,1
ZNF772,0.403682166713977,0.0032950032118679,0.013,0.008,1
SLC25A34,0.403682166713977,-0.00653305276241484,0.008,0.013,1
RGPD8,0.403682166713977,-0.00816304497334585,0.008,0.013,1
RPH3AL,0.403682166713977,-0.00979038463272121,0.008,0.013,1
TSFM,0.403686231972008,0.00165700120762941,0.013,0.008,1
SLC26A7,0.403946395151685,-0.00649300315429511,0.008,0.013,1
IL2RA,0.40420741114517,0.00649182126221285,0.013,0.008,1
CXXC4,0.404465667853568,0.00329232454836041,0.013,0.008,1
OXER1,0.404465768179207,0.00165700120762941,0.013,0.008,1
EEPD1,0.404536011888489,-0.0199154840464983,0.058,0.07,1
COIL,0.404940356414243,0.00924237259688609,0.275,0.252,1
DBN1,0.404961358535747,-0.000809091287564068,0.272,0.243,1
PPM1H,0.404981656558763,-0.00490039933852956,0.008,0.013,1
RPS20,0.405177774321927,-0.0296160275931538,0.987,0.99,1
GPAT2,0.405316039524319,0.00646855820485157,0.035,0.026,1
RTKN2,0.40544151196147,0.0127594150119348,0.036,0.028,1
HELQ,0.405594649264579,0.0101797800696124,0.161,0.142,1
STKLD1,0.405767311203486,-0.00488966701868494,0.008,0.013,1
KDM8,0.405767336263716,2.16778668986201e-05,0.013,0.008,1
STIMATE-MUSTN1,0.405767336263716,-0.00324096776791767,0.013,0.008,1
CMTM5,0.406028226319275,-0.00324897756122492,0.008,0.013,1
P2RY1,0.406057929196835,0.0110467415574685,0.053,0.043,1
ABHD17C,0.406194834750794,0.0106932072715669,0.09,0.076,1
KLHL23,0.406217133748881,-0.00906696215534622,0.164,0.144,1
MRPS24,0.406435241395316,0.00814000608570791,0.023,0.017,1
GOLGA7B,0.406435241395316,0.00814000608570791,0.023,0.017,1
SH2D3C,0.406780554324815,0.0248958471392708,0.055,0.045,1
NKAPL,0.406903892802683,0.00803660817166865,0.035,0.026,1
BMPR1B,0.407075191465002,-0.00324096776791767,0.008,0.013,1
TRAPPC9,0.407322582541411,0.000129117029576201,0.083,0.07,1
