,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TUBA1B,0.336196069163043,0.00671334197676954,0.827,0.817,1
HCFC1,0.336281764877058,0.0311816746837261,0.196,0.177,1
TXNDC11,0.336329330573104,0.0112612442071528,0.113,0.096,1
DACT1,0.3363293566947,0.0142552185206106,0.097,0.081,1
ALPK1,0.336443075160921,0.00828505153410691,0.145,0.125,1
DLC1,0.336474628808567,0.020718604250188,0.478,0.455,1
ERCC5,0.33647767818238,-0.0222983718379734,0.067,0.081,1
CIITA,0.336589777551027,0.00502771966380037,0.018,0.012,1
CSAG1,0.336596585881167,0.00990186676101216,0.018,0.012,1
PEX11A,0.336738091085546,0.0127131030498389,0.118,0.101,1
RIPK4,0.336787657865179,0.0017809635649305,0.018,0.012,1
TNKS1BP1,0.336824560550328,0.0246479087445869,0.263,0.239,1
MAPK1IP1L,0.336939159714921,0.0247948604979191,0.321,0.295,1
TAS2R14,0.336984735719535,0.00828505153410676,0.028,0.02,1
IRX5,0.336984735719535,0.00828505153410676,0.028,0.02,1
ACTR3B,0.337008776856649,-0.0172754454454282,0.028,0.038,1
PDGFRA,0.337194185430956,0.070335642062423,0.78,0.792,1
SOD2,0.337339076964986,0.0545783355049516,0.862,0.855,1
FN3KRP,0.337435394035888,0.0125861334334976,0.146,0.127,1
ZNF426,0.337516014434597,0.00966151424283021,0.193,0.17,1
PRKD2,0.337636067520096,0.00828505153410676,0.11,0.092,1
VWA5A,0.337638176169148,0.0340375476365215,0.135,0.117,1
CLN8,0.337707294460106,0.00533519688768568,0.12,0.101,1
CEP97,0.337743223753375,0.0198626048765496,0.133,0.116,1
HECW2,0.337776472989348,0.0082850515341069,0.028,0.02,1
ZNF28,0.337822156251016,0.0130735682659039,0.042,0.031,1
PIGQ,0.337860583267848,0.0158095415127223,0.098,0.083,1
MPP6,0.33798253351274,0.0191970849850894,0.058,0.046,1
RSPO1,0.33801357599282,0.00982233085299325,0.07,0.056,1
ZBTB22,0.338153144166794,0.0144579106411878,0.073,0.059,1
ARHGEF4,0.338166493225779,-0.0111330343229948,0.018,0.026,1
GZMM,0.338175775337587,0.014438917108485,0.055,0.043,1
LMAN1,0.338405964567163,-0.0459325343706902,0.902,0.909,1
MLF2,0.338422084554067,-0.0413865582631308,0.534,0.554,1
DONSON,0.338501814102749,0.0161405514744158,0.057,0.045,1
TBC1D4,0.338602434028463,0.0172652273416912,0.236,0.213,1
TBX2,0.338798873818609,-0.00910669117776225,0.301,0.269,1
LAMTOR5,0.338941821457392,-0.0418193540030296,0.797,0.842,1
ACP6,0.339286919290485,-0.0219961465803656,0.028,0.038,1
S100A10,0.339334861701181,-0.040206067626823,0.869,0.883,1
GGCT,0.339350462946389,0.0149369607624126,0.376,0.345,1
PLTP,0.339358669187383,0.0383563950304248,0.562,0.556,1
TMEM59,0.339374802465632,-0.0414764580249569,0.973,0.977,1
FAM122C,0.33961108752049,0.00351177278144912,0.04,0.03,1
NDST1,0.339687618147523,-0.0153148638067667,0.098,0.116,1
PAM,0.339726975008761,0.0445485670018106,0.832,0.845,1
