"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MGA",5.93389794701021e-07,0.113522055091801,0.216,0.111,0.0103973759827513
"GFRA1",6.09433801743792e-07,0.0978857896968585,0.16,0.068,0.0106784990741547
"KIF21A",6.49388143791119e-07,0.108972856402056,0.171,0.079,0.011378579055508
"LRRC15",6.88911924207412e-07,0.0752637101172186,0.086,0.024,0.0120711147359623
"IKZF1",7.03647077631904e-07,0.0809329289737572,0.065,0.013,0.0123293040942662
"SPRED1",7.21562275565015e-07,0.115744148281442,0.345,0.214,0.0126432141924502
"GLS",7.71110752073993e-07,0.147494421695588,0.376,0.249,0.0135114025978405
"TRBC1",7.95464414575512e-07,0.0741455553849237,0.079,0.02,0.0139381274721921
"TMEM45A",8.24853853325498e-07,0.146849860931602,0.291,0.173,0.0144530892179694
"PREX2",8.26408219286563e-07,0.0943086219914278,0.149,0.063,0.0144803248183391
"KDM2A",9.79764116647428e-07,0.108054272634146,0.27,0.156,0.0171674268518962
"YWHAZ",9.8926683398121e-07,0.171136820216733,0.676,0.574,0.0173339334650188
"ZFHX4",1.05935563382526e-06,0.10796896624371,0.18,0.087,0.0185620294158862
"HS3ST6",1.07357302838228e-06,0.0631482187747745,0.072,0.017,0.0188111466033143
"IFNG",1.11663144086847e-06,0.0572302846971963,0.043,0.004,0.0195656161068973
"S100A10",1.18385705491021e-06,0.218729321473743,0.741,0.62,0.0207435433161367
"EMB",1.25806145982076e-06,0.0835602024839525,0.117,0.043,0.0220437528989794
"RRP15",1.30218529133703e-06,0.0947003690410686,0.191,0.094,0.0228168906748074
"RBP7",1.30229887350599e-06,0.0716865460640738,0.079,0.021,0.022818880861572
"BZW1",1.4169820715603e-06,0.153383402345746,0.498,0.381,0.0248283598578796
"OAS3",1.42476790448179e-06,0.0808362900493516,0.086,0.025,0.02496478322233
"TMEM158",1.4299768285293e-06,0.173708688726915,0.232,0.13,0.0250560539894904
"UGDH",1.48528252703153e-06,0.111448743569749,0.234,0.128,0.0260251204386465
"TMED7",1.54703037670054e-06,0.12527307162732,0.333,0.215,0.0271070662605469
"DOK7",1.60138811369107e-06,0.0349556780223448,0.038,0.003,0.0280595225280949
"HGF",1.60376797794534e-06,0.138477772349494,0.318,0.201,0.0281012225095583
"ANKRD65",1.68786570053685e-06,0.0807688113894523,0.142,0.06,0.0295747828048067
"CTNNBL1",1.71559448345556e-06,0.089448345109175,0.187,0.092,0.0300606465391083
"ZC3H15",1.79527069686111e-06,0.147758169554165,0.448,0.333,0.0314567331504004
"LAP3",1.81558536871045e-06,0.285973956916157,0.313,0.218,0.0318126868305444
"FOXD1",1.85265203213897e-06,0.0623565434008219,0.065,0.014,0.032462168907139
"SPTLC1",1.87080468550196e-06,0.104183619249754,0.273,0.16,0.0327802396993653
