,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PIK3R2,0.79970654524917,-0.000123852742128342,0.023,0.025,1
HP1BP3,0.800171062718301,0.0179367852578975,0.601,0.642,1
DPH5,0.800454373356191,-0.00128743097143714,0.054,0.058,1
BCS1L,0.800454373356191,-0.00128743097143714,0.054,0.058,1
PLCG1,0.800524974738215,0.00279315690336435,0.052,0.048,1
DNAJB4,0.800647589177295,0.0218435470926534,0.205,0.216,1
RMDN2,0.800790529945809,-0.00400624093649642,0.072,0.076,1
TMEM234,0.801794821921175,-0.00265925589669752,0.063,0.067,1
ZNF775,0.801812216398181,0.00171883523410458,0.045,0.042,1
TMLHE,0.801812216398181,0.00171883523410458,0.045,0.042,1
PRMT3,0.801812216398181,0.00171883523410458,0.045,0.042,1
MAPK7,0.801812216398181,0.00171883523410458,0.045,0.042,1
TYK2,0.802020025859576,0.00190177945277035,0.045,0.048,1
RNF122,0.802109734478467,-0.00275784875755884,0.009,0.01,1
AGAP2,0.802109734478467,-0.00275784875755884,0.009,0.01,1
CYP2S1,0.802109734478467,-0.00275784875755884,0.009,0.01,1
KIF11,0.802111145127702,-0.00311551699524061,0.009,0.01,1
DNAJC11,0.802187941866073,-0.00556094174881915,0.052,0.055,1
ZNF710,0.802437227958233,0.00848592799897094,0.02,0.018,1
SPAG16,0.802521178520405,0.0124873039730468,0.169,0.165,1
ZMIZ2,0.802978755488308,0.000654118654615052,0.052,0.048,1
IMPACT,0.803085648079215,-9.02002711926503e-05,0.104,0.109,1
PODXL2,0.803238011876752,-0.00294807451134249,0.043,0.046,1
ZFYVE19,0.803238011876752,-0.00294807451134249,0.043,0.046,1
PABPC5,0.803336008053748,-0.00699212216930648,0.07,0.073,1
RGL3,0.803336008053748,-0.00699212216930648,0.07,0.073,1
KDM5A,0.803378948947777,0.00243696811954514,0.297,0.307,1
DNAJC18,0.803519931665074,0.0180341649332133,0.083,0.08,1
AL109811.3,0.803650392893988,-0.00146167229611214,0.009,0.01,1
PARS2,0.803650392893988,-0.00146167229611214,0.009,0.01,1
FBXO41,0.803650392893988,-0.00146167229611214,0.009,0.01,1
H2AC8,0.803650392893988,-0.00146167229611214,0.009,0.01,1
ZNF165,0.803650392893988,-0.00146167229611214,0.009,0.01,1
SEC31B,0.803650392893988,-0.00146167229611214,0.009,0.01,1
SLC5A2,0.803650392893988,-0.00146167229611214,0.009,0.01,1
ZNF341,0.803650392893988,-0.00146167229611214,0.009,0.01,1
SLC13A3,0.803650392893988,-0.00146167229611214,0.009,0.01,1
APLP1,0.803650392893988,-0.00146167229611214,0.009,0.01,1
ZNF575,0.803650392893988,-0.00146167229611214,0.009,0.01,1
TMEM86B,0.803650392893988,-0.00146167229611214,0.009,0.01,1
BCAN,0.803650392893988,-0.00146167229611214,0.009,0.01,1
RIPPLY2,0.803650392893988,-0.00146167229611214,0.009,0.01,1
AGTPBP1,0.80380970770755,0.0108052177900619,0.027,0.025,1
APBA2,0.80407836538333,0.0132592067516287,0.07,0.067,1
LAPTM4A,0.80414857192169,0.0268274708454637,0.894,0.955,1
PDZRN3,0.804460818283884,0.0096524799102535,0.133,0.128,1
C2CD5,0.804905547021683,0.00139367120696747,0.079,0.075,1
DLC1,0.805194247185304,0.0146075037398005,0.387,0.381,1
RARS2,0.805406783110927,0.00774970701019131,0.155,0.151,1
PBXIP1,0.805952513097038,0.0133204150917211,0.207,0.218,1
SLC22A3,0.806072360826673,-0.00499531480123677,0.032,0.034,1
EPHA4,0.806124139770827,0.0105517002326133,0.034,0.031,1
RRM1,0.806157173638747,0.00485534898382702,0.081,0.077,1
PDCD10,0.806197937657817,0.028037621530696,0.182,0.181,1
C3orf14,0.806272892131477,-0.00838114520654264,0.122,0.126,1
GTF2IRD2,0.806731032857755,-0.000314065252344758,0.083,0.088,1
COCH,0.806736196079986,0.000767983031157082,0.009,0.01,1
ZSWIM3,0.806736196079986,0.000767983031157082,0.009,0.01,1
IFT20,0.806998965714881,0.0354978303804334,0.304,0.308,1
MTO1,0.807031072037513,0.000654118654615052,0.052,0.048,1
FRS2,0.807633635870387,0.0175407875210592,0.144,0.142,1
WIZ,0.80847532340908,-0.0033760077293571,0.09,0.094,1
AKT1,0.808554415297633,0.011132675087099,0.194,0.19,1
PCDH7,0.808708185605873,0.00386929111447817,0.133,0.128,1
SFMBT2,0.808874368299893,0.00500436362479123,0.02,0.018,1
NONO,0.808966844119068,0.0144708076832689,0.331,0.332,1
TMEM203,0.809464530560883,-0.00379358163109086,0.162,0.168,1
PTPDC1,0.809721696286971,-0.000790576371321218,0.043,0.046,1
RNF166,0.809721696286971,-0.000790576371321218,0.043,0.046,1
PCDHB10,0.810273001846629,0.00409031652593289,0.02,0.018,1
ZC3H12B,0.810273001846629,0.00409031652593289,0.02,0.018,1
PDE6D,0.810310030757739,0.00612021353584152,0.068,0.064,1
STRN4,0.810310030757739,0.00612021353584152,0.068,0.064,1
DOCK8,0.810931855541969,0.00749497140314462,0.061,0.058,1
CCDC124,0.810937826448046,0.00151488414457682,0.205,0.212,1
XG,0.811088273439353,-0.00059198742563215,0.052,0.048,1
ZNF529,0.811088273439353,-0.00059198742563215,0.052,0.048,1
ILF2,0.811501502097913,0.00723774546290185,0.331,0.326,1
SLMAP,0.81194541246035,0.00998037829240352,0.106,0.102,1
RABL6,0.812062323828759,0.0211117912590114,0.191,0.19,1
MGAT5,0.81218559660416,0.01810768232201,0.056,0.054,1
